State,Severity,Count
AL,1,524
AL,2,48945
AL,3,20565
AL,4,282
AR,1,26
AR,2,882
AR,3,364
AR,4,134
AZ,1,685
AZ,2,61348
AZ,3,15268
AZ,4,244
CA,1,3646
CA,2,348694
CA,3,233708
CA,4,819
CO,1,453
CO,2,24936
CO,3,16663
CO,4,403
CT,1,67
CT,2,7997
CT,3,13852
CT,4,148
DC,1,97
DC,2,2822
DC,3,733
DC,4,9
DE,1,224
DE,2,5809
DE,3,310
DE,4,12
FL,1,3777
FL,2,180597
FL,3,90836
FL,4,1595
GA,1,615
GA,2,36950
GA,3,54114
GA,4,1632
IA,1,54
IA,2,5036
IA,3,6416
IA,4,134
ID,1,1
ID,2,101
ID,3,109
ID,4,18
IL,1,1289
IL,2,60656
IL,3,36475
IL,4,323
IN,1,282
IN,2,18542
IN,3,12824
IN,4,337
KS,1,28
KS,2,1646
KS,3,4204
KS,4,50
KY,1,257
KY,2,11951
KY,3,11735
KY,4,249
LA,1,1220
LA,2,58134
LA,3,16004
LA,4,300
MA,1,1331
MA,2,35798
MA,3,16731
MA,4,53
MD,1,238
MD,2,20889
MD,3,19747
MD,4,447
ME,1,4
ME,2,177
ME,3,279
ME,4,17
MI,1,979
MI,2,54410
MI,3,36033
MI,4,337
MN,1,404
MN,2,32992
MN,3,26012
MN,4,52
MO,1,193
MO,2,9117
MO,3,21221
MO,4,388
MS,1,24
MS,2,3062
MS,3,3271
MS,4,109
MT,2,9
MT,3,39
MT,4,8
NC,1,3124
NC,2,148286
NC,3,25787
NC,4,477
ND,1,1
ND,2,4
ND,3,13
NE,1,67
NE,2,20240
NE,3,3906
NE,4,25
NH,1,81
NH,2,4068
NH,3,1890
NH,4,40
NJ,1,119
NJ,2,31358
NJ,3,16485
NJ,4,187
NM,1,104
NM,2,4041
NM,3,2687
NM,4,62
NV,1,119
NV,2,7210
NV,3,3282
NV,4,11
NY,1,520
NY,2,89172
NY,3,59944
NY,4,338
OH,1,1141
OH,2,41418
OH,3,28382
OH,4,443
OK,1,1193
OK,2,62794
OK,3,5833
OK,4,59
OR,1,48
OR,2,16856
OR,3,6882
OR,4,91
PA,1,1400
PA,2,85529
PA,3,27592
PA,4,469
RI,1,117
RI,2,4403
RI,3,7086
RI,4,8
SC,1,4752
SC,2,183335
SC,3,41104
SC,4,764
SD,2,10
SD,3,1
SD,4,1
TN,1,805
TN,2,56089
TN,3,26754
TN,4,463
TX,1,3091
TX,2,252742
TX,3,99085
TX,4,979
UT,1,216
UT,2,16272
UT,3,13094
UT,4,123
VA,1,1331
VA,2,48409
VA,3,46188
VA,4,1114
VT,1,3
VT,2,323
VT,3,208
VT,4,20
WA,1,352
WA,2,36233
WA,3,24780
WA,4,203
WI,1,57
WI,2,8548
WI,3,8217
WI,4,140
WV,1,1
WV,2,102
WV,3,216
WV,4,123
WY,2,36
WY,3,133
WY,4,33
